Air Temprature,Atmospresure station,Atmospresure sea,Relative humidity,mean wind speed,Min Temprature,Maximum Temprature ,Horizontol Visibility ,Dew Pount Temprature,Class
1.7,758,771.2,82,0,-0.5,1.7,14,-1.1,Rain
3.3,756.1,769,65,4,2.8,4.4,16,-2.8,Rain
7.8,752.5,765.4,89,6,5,7.8,16,6.1,Rain
5.6,747.5,760.3,89,5,5.6,15.2,16,3.9,Rain
11.7,737,749.3,74,6,7.8,11.7,16,7.2,Rain
10,752.2,765,66,4,7.8,10,16,3.9,Rain
11.7,746,758.5,80,3,9.4,13.9,12,8.3,Rain
5,745.3,757.9,96,3,5,10,16,4.4,Rain
11.7,744.7,757.3,69,6,8.9,12.8,16,6.1,Rain
12.8,753,765.8,87,6,7.2,15,16,10.6,Rain
12.8,756.5,769.3,72,2,7.8,12.8,16,7.8,Rain
12.8,749.8,762.3,74,5,9.4,12.8,16,8.3,Rain
12.2,747.5,760.3,93,7,7.8,17.2,16,11.1,Rain
11.7,751.5,764.1,93,5,11.7,19.4,16,10.6,Rain
15,752.8,765.4,81,4,13.3,16.1,16,11.7,Rain
17.2,743,755.5,56,6,10,17.8,16,8.3,Rain
10.6,742.3,754.7,86,4,10,16.7,16,8.3,Rain
12.8,743.5,756.1,80,5,11.1,16.7,16,9.4,Rain
12.8,744.5,757,83,5,10,13.3,16,10,Rain
13.3,753.3,766,97,3,12.2,17.2,16,12.8,Rain
15.6,747,759.6,62,7,12.2,17.2,16,8.3,Rain
17.2,748,760.5,84,5,13.9,17.2,16,14.4,Rain
12.2,749.8,762.4,87,4,11.1,13.3,16,10,Rain
8.3,747.3,760,90,6,7.8,10.6,16,6.7,Rain
12.8,749.5,762.1,69,5,8.3,15,16,7.2,Rain
9.4,753.8,766.6,69,2,6.1,10.6,16,3.9,Rain
6.1,752.8,765.7,89,6,6.1,15,16,4.4,Rain
13.9,749.2,762,58,10,11.7,15,16,5.6,Rain
20,745.3,757.9,70,0,12.2,24.4,16,14.4,Rain
16.7,754.6,767.2,90,3,12.8,16.7,16,15,Rain
11.1,748.8,761.4,69,4,8.3,11.1,16,5.6,Rain
9.4,742.7,755.5,77,4,7.2,10,16,5.6,Rain
12.2,757,769.9,69,5,6.7,14.4,16,6.7,Rain
5.6,755.8,768.7,85,5,5.6,10,16,3.3,Rain
13.9,742,754.6,62,0,7.8,14.4,16,6.7,Rain
9.4,750.5,763.3,66,3,6.1,11.1,16,3.3,Rain
8.9,749,761.9,63,6,6.7,11.1,16,2.2,Rain
6.7,743.8,756.4,73,5,6.7,15.2,16,2.2,Rain
8.3,741,753.4,80,5,7.8,12.2,16,5,Rain
6.7,751,763.9,89,6,6.7,12.2,16,5,Rain
7.8,749.8,762.6,83,6,7.2,11.1,16,5,Rain
9.4,743.2,755.7,80,4,8.3,13.3,16,6.1,Rain
8.9,745.5,758.2,71,3,8.6,10.6,16,3.9,Rain
10,750,762.7,50,6,6.7,12.2,16,0,Rain
4.4,753.8,766.6,86,6,4.4,10,16,2.2,Rain
8.9,752,764.8,83,3,8.9,11.7,16,6.1,Rain
8.3,753.5,766.4,93,5,5,11.7,16,7.2,Rain
9.4,753.3,766.2,83,8,8.6,10.6,16,6.7,Rain
1.1,746.2,759.2,89,0,0.6,5,16,-0.6,Rain
2.8,742.7,755.5,93,4,1.7,4.4,16,1.7,Rain
3.9,743.5,756.3,76,3,1.7,5,16,0,Rain
4.4,755.3,768.2,83,3,1.1,6.7,16,1.7,Rain
7.8,749.8,762.7,77,2,5,8.9,16,3.9,Rain
5,738.5,751,93,3,4.4,8.3,16,3.9,Rain
6.7,735.7,748.3,93,4,6.1,7.2,16,5.6,Rain
10,742.5,755.2,71,2,6.1,10,16,5,Rain
5.6,746.8,759.6,79,12,5.6,8.9,16,2.2,Rain
7.2,742,754.6,86,4,7.2,13.3,16,5,Rain
1.1,747,760,97,4,1.1,2.8,11,0.6,Rain
1.7,748,760.9,89,3,0,3.3,14,0,Rain
7.2,736.5,749.1,74,2,6.1,9.4,16,2.8,Rain
10,737.8,750.3,71,6,6.1,10,16,5,Rain
5,747.3,760,79,0,4.4,7.2,16,1.7,Rain
2.8,741.2,754,93,3,1.7,5.6,14,1.7,Rain
5,740.2,752.9,86,6,2.8,7.2,16,2.8,Rain
5,740.2,752.9,86,6,2.8,7.2,16,2.8,Rain
2.2,747,759.9,93,5,-1.6,2.2,14,1.1,Rain
4.4,755,768,93,3,4.4,8.9,16,3.3,Rain
2.8,743.5,756.3,93,2,1.7,4.4,16,1.7,Rain
3.3,756.1,769.1,97,3,3.3,4.4,4.8,2.8,Rain
4.4,746.2,759.1,89,5,0.6,4.4,16,2.8,Rain
6.7,758,771.1,89,5,5.6,7.2,12,5,Rain
6.1,754,766.7,97,2,5.6,10,16,5.6,Rain
6.7,745,757.6,93,6,5.6,6.7,16,5.6,Rain
11.1,743.2,755.8,83,6,11.1,13.9,16,8.3,Rain
12.8,753,765.7,72,6,12.8,14.4,16,7.8,Rain
11.1,751.8,764.5,80,2,10.6,15.6,16,7.8,Rain
12.8,750.3,763,74,5,9.4,12.8,16,8.3,Rain
11.7,750.5,763.1,77,3,10,13.3,16,7.8,Rain
10.6,740.2,752.9,89,3,9.4,11.1,16,8.9,Rain
10.6,748.3,760.9,86,3,10,14.4,16,8.3,Rain
